Year,Field.ID,Quadrant,Mildew_Apr,Mildew_May,Mildew_Jun,Mildew_Jul,Mildew_Apr_Dummy,Mildew_May_Dummy,Mildew_Jun_Dummy,Mildew_Jul_Dummy,mi,Mildew.Incidence_Dummy,r6,nonr6,is,Pruning,FlagShoot.Incidence,FlagShoot.Incidence_Dummy,YearlyCon,YearlyTCost,Grower_1,Grower_2,Grower_3,Grower_4,Grower_5,Grower_6,Grower_7,Grower_8,Grower_9,YearDummy_2014,YearDummy_2015,YearDummy_2016,YearDummy_2017,NE,NW,SW,SE,Direction_Ordinal,Grower_Ordinal,Prediction,ATE
2014,1,SW,0,0,0,0.01,0,0,0,1,0.0025,1,1,1,0,3,0,0,8,619.8915,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,109.8267909,288.9143084
2014,2,SW,0,0,0,0.01,0,0,0,1,0.0025,1,4,4,1,3,0,0,8,619.8915,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,143.2081225,309.9666632
2014,3,SW,0,0,0,0.01,0,0,0,1,0.0025,1,4,4,1,3,0,0,8,619.8915,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,149.0446966,309.9666632
2014,4,SW,0,0,0.05,0.1,0,0,1,1,0.0375,1,2,2,1,4,0,0,8,619.8915,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,154.2712183,291.9999081
2014,5,SE,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,8,619.8915,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,138.5190858,315.9626788
2014,6,SW,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,8,619.8915,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,128.6482647,288.9143084
2014,7,SW,0,0,0.01,0.02,0,0,1,1,0.0075,1,4,4,0,4,0,0,8,619.8915,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,133.4734327,296.7826283
2014,9,SE,0,0,0,0.16,0,0,0,1,0.04,1,1,1,1,2,0,0,8,619.8915,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,139.6213133,253.395509
2014,10,NE,0,0.01,0.1,0.07,0,1,1,1,0.045,1,2,2,1,5,0,0,8,619.8915,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,112.8815219,23.71116922
2014,11,SE,0,0.13,0.09,0.02,0,1,1,1,0.06,1,2,2,1,3,0,0,8,619.8915,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,138.5399185,311.665375
2014,12,NE,0.01,0,0.48,0.12,1,0,1,1,0.1525,1,4,4,1,3,0.0025,1,10,915.9638196,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,180.2892637,-21.76725191
2014,13,SE,0,0,0.03,0.01,0,0,1,1,0.01,1,1,1,1,3,0,0,8,619.8915,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,154.8484816,315.9626788
2014,14,NE,0,0,0.36,0.09,0,0,1,1,0.1125,1,3,3,1,5,0,0,8,619.8915,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,140.9570574,-46.63104339
2014,15,SE,0,0.03,0.04,0.14,0,1,1,1,0.0525,1,3,3,2,3,0,0,8,619.8915,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,120.9611358,175.2484265
2014,16,SW,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,8,619.8915,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,144.1282762,288.9143084
2014,17,SE,0,0,0.01,0.04,0,0,1,1,0.0125,1,1,1,1,3,0,0,8,619.8915,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,117.6392602,315.9626788
2014,18,SW,0,0,0.02,0.03,0,0,1,1,0.0125,1,4,4,1,4,0,0,10,619.8915,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,152.6118008,296.7826283
2014,19,SE,0,0,0.01,0.02,0,0,1,1,0.0075,1,1,1,1,3,0,0,8,619.8915,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,137.2635461,315.9626788
2014,20,SE,0,0,0,0.05,0,0,0,1,0.0125,1,1,1,1,5,0,0,8,619.8915,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,164.3956242,301.9553089
2014,21,SE,0,0.01,0.02,0.13,0,1,1,1,0.04,1,4,4,1,5,0,0,10,619.8915,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,51.81437439,278.5768836
2014,22,SE,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,8,619.8915,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,127.2352743,294.1093274
2014,23,SW,0,0.0075,0.11,0.12,0,1,1,1,0.059375,1,3,3,1,4,0,0,8,619.8915,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,143.329224,268.3637268
2014,25,NE,0.03,0.38,1,0.99,1,1,1,1,0.6,1,4,4,1,5,0.0275,1,8,681.5423949,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,235.2458589,-21.37087746
2014,26,NE,0,0.01,0.08,0.09,0,1,1,1,0.045,1,2,0,2,2,0,0,5,161.6129119,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,162.8576776,-273.0387591
2014,27,SE,0,0,0.12,0.42,0,0,1,1,0.135,1,4,0,2,5,0,0,13,1131.950133,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,2,141.7593204,-104.4692433
2014,28,SE,0,0,0.55,0.82,0,0,1,1,0.3425,1,4,0,2,4,0,0,13,1131.950133,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,2,129.1123021,16.9310052
2014,29,SE,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,4,98.14103417,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,2,119.2945417,267.4360908
2014,30,NE,0,0.12,0.88,0.39,0,1,1,1,0.3475,1,3,3,2,2,0,0,10,676.5237332,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,89.46140674,-152.6260984
2014,31,NE,0.03,0.07,0.94,0.71,1,1,1,1,0.4375,1,5,0,2,4,0.01,1,17,1733.358983,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,-11.32214981,-47.46439043
2014,32,NE,0,0,0.82,0.36,0,0,1,1,0.295,1,4,0,2,2,0,0,13,1249.933725,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,129.6471508,-117.0542165
2014,33,NE,0,0,0.47,0.14,0,0,1,1,0.1525,1,4,4,2,4,0,0,8,1408.945203,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,132.5835729,-102.2110409
2014,34,NE,0,0.06,0.87,1,0,1,1,1,0.4825,1,3,3,2,4,0.0025,1,10,792.2541997,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,159.6603982,-80.09115561
2014,35,NW,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,6,181.0814462,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,4,112.4000309,215.6729762
2014,36,NW,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,6,181.0814462,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,4,117.0702483,215.6729762
2014,37,NW,0,0,0,0.01,0,0,0,1,0.0025,1,3,3,2,3,0,0,4,168.3684892,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,4,144.0359707,234.0818033
2014,38,NW,0,0,0,0,0,0,0,0,0,0,4,4,0,2,0,0,4,177.1819117,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,4,134.5427468,189.9234337
2014,39,NW,0,0,0,0,0,0,0,0,0,0,4,4,0,2,0,0,4,177.1819117,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,4,131.4364178,189.9234337
2014,41,NW,0,0,0.02,0.02,0,0,1,1,0.01,1,3,3,2,5,0,0,3,170.8254332,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,4,143.9102302,210.8212167
2014,42,NW,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,6,174.7249677,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,4,130.0789159,215.6729762
